epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8332,1.09407,0.35354,0.93117,0.72576,0.52319,0.59104,0.38781,1.34236,0.3942,1.00534,0.00027775,0.00027775,0.00027775
2,17.1963,1.02638,0.3476,0.90388,0.72576,0.52319,0.59104,0.38781,1.34236,0.3942,1.00534,0.000563805,0.000563805,0.000563805
3,23.6257,1.59086,0.51104,1.07062,0.66284,0.47279,0.4728,0.30658,1.37864,0.48622,0.9963,0.000847001,0.000847001,0.000847001
4,29.9806,1.93377,0.56222,1.11469,0.66284,0.47279,0.4728,0.30658,1.37864,0.48622,0.9963,0.0010945,0.0010945,0.0010945
5,36.4925,1.87374,0.58981,1.1055,0.58443,0.50169,0.49775,0.31351,1.44176,0.47267,1.00659,0.001089,0.001089,0.001089
6,54.4783,1.86201,0.55075,1.0841,0.58443,0.50169,0.49775,0.31351,1.44176,0.47267,1.00659,0.0010835,0.0010835,0.0010835
7,61.0248,1.66954,0.48346,1.09774,0.58443,0.50169,0.49775,0.31351,1.44176,0.47267,1.00659,0.001078,0.001078,0.001078
8,67.3758,1.47484,0.48305,1.04323,0.52434,0.43637,0.42659,0.27074,1.36997,0.54454,0.99611,0.0010725,0.0010725,0.0010725
9,74.6935,1.38984,0.49246,1.01673,0.52434,0.43637,0.42659,0.27074,1.36997,0.54454,0.99611,0.001067,0.001067,0.001067
10,81.0916,1.47709,0.55033,1.04187,0.71677,0.57371,0.59985,0.37421,1.59457,0.49249,1.09166,0.0010615,0.0010615,0.0010615
11,87.2963,1.53048,0.63421,1.09281,0.71677,0.57371,0.59985,0.37421,1.59457,0.49249,1.09166,0.00105601,0.00105601,0.00105601
12,93.986,1.64146,0.54851,1.07056,0.71677,0.57371,0.59985,0.37421,1.59457,0.49249,1.09166,0.00105051,0.00105051,0.00105051
13,100.355,1.43068,0.45976,1.01404,0.70704,0.54122,0.59408,0.3866,1.53131,0.48059,1.05524,0.00104501,0.00104501,0.00104501
14,106.884,1.33931,0.48338,0.98845,0.70704,0.54122,0.59408,0.3866,1.53131,0.48059,1.05524,0.00103951,0.00103951,0.00103951
15,113.357,1.44682,0.55443,1.01098,0.69464,0.54792,0.59422,0.41753,1.33953,0.44174,0.98568,0.00103401,0.00103401,0.00103401
16,119.867,1.40716,0.48341,1.00383,0.69464,0.54792,0.59422,0.41753,1.33953,0.44174,0.98568,0.00102851,0.00102851,0.00102851
17,131.367,1.34827,0.64152,1.01226,0.69464,0.54792,0.59422,0.41753,1.33953,0.44174,0.98568,0.00102301,0.00102301,0.00102301
18,137.789,1.31973,0.47837,0.99831,0.61652,0.56819,0.58849,0.41934,1.28145,0.42037,0.99566,0.00101751,0.00101751,0.00101751
19,150.389,1.41588,0.47092,1.02717,0.61652,0.56819,0.58849,0.41934,1.28145,0.42037,0.99566,0.00101201,0.00101201,0.00101201
20,156.879,1.2836,0.42442,1.00412,0.71634,0.55248,0.60919,0.38815,1.5782,0.4382,1.09126,0.00100651,0.00100651,0.00100651
21,163.186,1.35327,0.39761,1.02018,0.71634,0.55248,0.60919,0.38815,1.5782,0.4382,1.09126,0.00100101,0.00100101,0.00100101
22,169.48,1.36014,0.49039,0.99272,0.73209,0.56618,0.62669,0.4069,1.53915,0.42615,1.08186,0.000995512,0.000995512,0.000995512
23,175.744,1.28198,0.44876,0.98779,0.73209,0.56618,0.62669,0.4069,1.53915,0.42615,1.08186,0.000990012,0.000990012,0.000990012
24,185.522,1.35747,0.42425,0.95891,0.73209,0.56618,0.62669,0.4069,1.53915,0.42615,1.08186,0.000984513,0.000984513,0.000984513
25,201.766,1.39846,0.46989,0.9524,0.75079,0.59655,0.64074,0.44449,1.32122,0.40255,1.01846,0.000979013,0.000979013,0.000979013
