epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.274,2.29671,32.4604,1.46574,0.00255,0.00735,0.00369,0.00323,1.65209,29.5642,1.23841,4.165e-05,4.165e-05,4.165e-05
2,241.121,2.22848,31.445,1.3611,0.01495,0.03235,0.01765,0.01274,1.60753,29.4987,1.18553,9.10252e-05,9.10252e-05,9.10252e-05
3,310.099,2.0581,30.706,1.27679,0.01906,0.05,0.03288,0.02602,1.58183,29.2629,1.12723,0.000139741,0.000139741,0.000139741
4,382.709,2.13304,29.9777,1.32816,0.01826,0.06354,0.04067,0.03232,1.62332,28.9377,1.10095,0.000187797,0.000187797,0.000187797
5,503.464,2.13884,28.6296,1.28397,0.01707,0.06648,0.04404,0.03376,1.65941,28.5527,1.09963,0.000235193,0.000235193,0.000235193
6,595.661,1.99388,26.5164,1.1541,0.02351,0.09037,0.05286,0.03786,1.75736,28.0531,1.11788,0.000281929,0.000281929,0.000281929
7,694.089,2.10833,24.1088,1.20928,0.02403,0.11689,0.06815,0.04332,1.87869,27.3721,1.15274,0.000328005,0.000328005,0.000328005
8,770.64,1.9506,23.0893,1.20238,0.02403,0.11689,0.06815,0.04332,1.87869,27.3721,1.15274,0.000373422,0.000373422,0.000373422
9,850.3,1.96453,21.5633,1.18763,1,0.033,0.08618,0.0508,2.01433,26.5752,1.18498,0.000418179,0.000418179,0.000418179
10,942.92,1.97595,20.6048,1.14502,0.96537,0.06556,0.13016,0.06809,2.06956,24.7722,1.1839,0.000462277,0.000462277,0.000462277
11,990.962,1.96313,18.6607,1.16575,0.96537,0.06556,0.13016,0.06809,2.06956,24.7722,1.1839,0.000505714,0.000505714,0.000505714
12,1059.01,1.98031,18.7719,1.15027,0.7933,0.0837,0.14194,0.07237,2.09805,23.2434,1.19124,0.000548492,0.000548492,0.000548492
13,1138.68,1.89165,18.8552,1.16887,0.7933,0.0837,0.14194,0.07237,2.09805,23.2434,1.19124,0.00059061,0.00059061,0.00059061
14,1257.41,2.19721,19.7071,1.168,0.7933,0.0837,0.14194,0.07237,2.09805,23.2434,1.19124,0.000632069,0.000632069,0.000632069
15,1373.75,1.88879,18.1696,1.09687,0.5997,0.17473,0.17004,0.08658,1.96364,18.5924,1.10983,0.000672867,0.000672867,0.000672867
16,1465.76,1.99499,18.434,1.19446,0.5997,0.17473,0.17004,0.08658,1.96364,18.5924,1.10983,0.000713006,0.000713006,0.000713006
17,1538.23,1.86916,17.375,1.13127,0.72596,0.19496,0.17818,0.08763,1.99588,16.9905,1.11754,0.000745035,0.000745035,0.000745035
18,1611.23,1.93886,17.8574,1.10873,0.72596,0.19496,0.17818,0.08763,1.99588,16.9905,1.11754,0.000739537,0.000739537,0.000739537
19,1685.72,1.96234,18.271,1.10374,0.72596,0.19496,0.17818,0.08763,1.99588,16.9905,1.11754,0.00073404,0.00073404,0.00073404
20,1779.22,1.93409,17.798,1.10703,0.70976,0.2031,0.18149,0.08843,2.06298,16.4157,1.13444,0.000728542,0.000728542,0.000728542
21,1881.95,1.8631,17.8507,1.09347,0.70976,0.2031,0.18149,0.08843,2.06298,16.4157,1.13444,0.000723044,0.000723044,0.000723044
22,1979.96,1.90508,17.1245,1.13053,0.70976,0.2031,0.18149,0.08843,2.06298,16.4157,1.13444,0.000717546,0.000717546,0.000717546
