epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0406,1.00189,1.58062,0.90832,0.7503,0.6732,0.69826,0.48816,1.17033,1.76696,0.95411,0.00027775,0.00027775,0.00027775
2,20.9771,0.92508,1.57156,0.88334,0.7503,0.6732,0.69826,0.48816,1.17033,1.76696,0.95411,0.000561001,0.000561001,0.000561001
3,28.2723,1.1536,2.0528,0.93308,0.77454,0.5878,0.64503,0.4188,1.32953,2.1007,1.00357,0.000838532,0.000838532,0.000838532
4,36.7604,1.34023,2.20632,0.96798,0.77454,0.5878,0.64503,0.4188,1.32953,2.1007,1.00357,0.001078,0.001078,0.001078
5,48.9826,1.37022,2.33859,0.9621,0.72631,0.59332,0.62775,0.40167,1.3616,2.16409,1.0167,0.001067,0.001067,0.001067
6,77.7062,1.28133,2.14872,0.94499,0.72631,0.59332,0.62775,0.40167,1.3616,2.16409,1.0167,0.00105601,0.00105601,0.00105601
7,84.3513,1.17109,2.00331,0.95529,0.72631,0.59332,0.62775,0.40167,1.3616,2.16409,1.0167,0.00104501,0.00104501,0.00104501
8,90.9055,1.24269,1.99384,0.96643,0.83237,0.46364,0.55018,0.34789,1.35892,2.20762,1.0154,0.00103401,0.00103401,0.00103401
9,98.0773,1.20315,1.95669,0.96947,0.83237,0.46364,0.55018,0.34789,1.35892,2.20762,1.0154,0.00102301,0.00102301,0.00102301
10,104.409,1.33096,2.31676,0.99653,0.81916,0.45529,0.54042,0.34525,1.35848,2.20129,1.01799,0.00101201,0.00101201,0.00101201
11,110.587,1.29823,2.45612,0.99723,0.81916,0.45529,0.54042,0.34525,1.35848,2.20129,1.01799,0.00100101,0.00100101,0.00100101
12,117.13,1.38145,2.39275,0.96052,0.81916,0.45529,0.54042,0.34525,1.35848,2.20129,1.01799,0.000990012,0.000990012,0.000990012
